NechaG93688	NechaT93688	2615272	2615619	2615620	2615696	2615697	2616194
NechaG58684	NechaT58684	3996719	3997050	3997051	3997096	3997097	3997980
NechaG87444	NechaT87444	1020625	1020917	1020918	1021039	1021040	1021166
NechaG42368	NechaT42368	612	891	892	937	938	1236
NechaG42368	NechaT42368	938	1236	1237	1290	1291	1463
NechaG42368	NechaT42368	1291	1463	1464	1509	1510	1936
NechaG76709	NechaT76709	2996051	2996245	2996246	2996299	2996300	2996599
NechaG76709	NechaT76709	2996300	2996599	2996600	2996646	2996647	2997136
NechaG76709	NechaT76709	2996647	2997136	2997137	2997197	2997198	2997525
NechaG76709	NechaT76709	2997198	2997525	2997526	2997586	2997587	2998274
NechaG76709	NechaT76709	2997587	2998274	2998275	2998346	2998347	2998451
NechaG55099	NechaT55099	211497	211576	211577	211630	211631	212036
NechaG55099	NechaT55099	211631	212036	212037	212094	212095	212159
NechaG55099	NechaT55099	212095	212159	212160	212217	212218	212338
NechaG55099	NechaT55099	212218	212338	212339	212421	212422	212748
NechaG38255	NechaT38255	1288489	1290266	1290267	1290342	1290343	1290703
NechaG38255	NechaT38255	1290343	1290703	1290704	1290757	1290758	1292235
NechaG38255	NechaT38255	1290758	1292235	1292236	1292286	1292287	1292425
NechaG48261	NechaT48261	287164	287312	287313	287376	287377	287492
NechaG48261	NechaT48261	287377	287492	287493	287549	287550	287697
NechaG48261	NechaT48261	287550	287697	287698	287752	287753	287822
NechaG48261	NechaT48261	287753	287822	287823	287871	287872	288055
NechaG48261	NechaT48261	287872	288055	288056	288108	288109	288319
NechaG48261	NechaT48261	288109	288319	288320	288357	288358	288492
NechaG48261	NechaT48261	288358	288492	288493	288540	288541	288764
NechaG48261	NechaT48261	288541	288764	288765	288819	288820	288919
NechaG48261	NechaT48261	288820	288919	288920	289011	289012	289132
NechaG74905	NechaT74905	3275083	3275176	3275177	3275239	3275240	3275764
NechaG74905	NechaT74905	3275240	3275764	3275765	3276007	3276008	3276177
NechaG83268	NechaT83268	100514	101579	101580	101643	101644	101768
NechaG83268	NechaT83268	101644	101768	101769	101822	101823	101957
NechaG83268	NechaT83268	101823	101957	101958	102015	102016	102746
NechaG83268	NechaT83268	102016	102746	102747	102809	102810	103301
NechaG83268	NechaT83268	102810	103301	103302	103386	103387	103441
NechaG83268	NechaT83268	103387	103441	103442	103600	103601	103726
NechaG77451	NechaT77451	870271	870314	870315	870385	870386	870891
NechaG77451	NechaT77451	870386	870891	870892	870946	870947	872256
NechaG77451	NechaT77451	870947	872256	872257	872339	872340	872387
NechaG77451	NechaT77451	872340	872387	872388	872431	872432	872705
NechaG77451	NechaT77451	872432	872705	872706	872772	872773	873152
NechaG77451	NechaT77451	872773	873152	873153	873306	873307	874017
NechaG74817	NechaT74817	2946095	2946261	2946262	2946329	2946330	2947150
NechaG74817	NechaT74817	2946330	2947150	2947151	2947202	2947203	2947417
NechaG75597	NechaT75597	5738851	5739248	5739249	5739301	5739302	5739938
NechaG75597	NechaT75597	5739302	5739938	5739939	5739989	5739990	5740356
NechaG75597	NechaT75597	5739990	5740356	5740357	5740388	5740389	5741752
NechaG75597	NechaT75597	5740389	5741752	5741753	5741822	5741823	5742188
NechaG64023	NechaT64023	1260859	1261381	1261382	1261440	1261441	1261559
NechaG64023	NechaT64023	1261441	1261559	1261560	1261654	1261655	1261713
NechaG64023	NechaT64023	1261655	1261713	1261714	1261767	1261768	1262057
NechaG38720	NechaT38720	3141815	3141865	3141866	3141921	3141922	3145207
NechaG38720	NechaT38720	3141922	3145207	3145208	3145255	3145256	3146001
NechaG60839	NechaT60839	1027521	1027981	1027982	1028031	1028032	1028505
NechaG87500	NechaT87500	1170924	1171112	1171113	1171179	1171180	1171190
NechaG87500	NechaT87500	1171180	1171190	1171191	1171242	1171243	1171390
